id,created_at,slug,category,date,tags,title,description,thumbnail_url,content_url
1,2025-10-25 05:53:41.765023+00,nushafest-2025-menyatukan-semangat-generasi-muda-untuk-investasi-dan-keuangan-syariah-di-era-digital,activity,2025-09-27,"[""Nushafest"",""Collaboration"",""Muslim Youth"",""Education"",""Sharia Crypto"",""Sharia Finance"",""Sharia Stocks"",""Halal Investment"",""Halal Economy""]",Nushafest 2025: Menyatukan Semangat Generasi Muda untuk Investasi dan Keuangan Syariah di Era Digital,"Di tengah derasnya arus digitalisasi dan kemajuan teknologi finansial, umat Islam di Indonesia dihadapkan pada tantangan besar: bagaimana membangun masa depan ekonomi yang cerdas, halal, dan berkelanjutan.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/nushafest-2025-menyatukan-semangat-generasi-muda-untuk-investasi-dan-keuangan-syariah-di-era-digital/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/nushafest-2025-menyatukan-semangat-generasi-muda-untuk-investasi-dan-keuangan-syariah-di-era-digital/content.md
2,2025-10-25 05:53:41.765023+00,cryptosharia-gandeng-pesantren-tadzimul-quran-an-naajiyah-sinergi-dakwah-dan-edukasi-keuangan-syariah-di-era-digital,activity,2025-09-03,"[""Pesantren"",""An-Naajiyah"",""Collaboration"",""Sharia Crypto"",""Sharia Finance"",""Halal Crypto"",""Digital Economy"",""Sharia Literacy"",""Blockchain"",""Dakwah""]",CryptoSharia Gandeng Pesantren Ta’dzimul Qur’an An-Naajiyah: Sinergi Dakwah dan Edukasi Keuangan Syariah di Era Digital,"Dalam upaya memperkuat literasi keuangan dan investasi berbasis syariah di kalangan santri dan masyarakat luas, Crypto Sharia resmi menjalin kolaborasi dengan Pesantren Ta’dzimul Qur’an An-Naajiyah.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/cryptosharia-gandeng-pesantren-tadzimul-quran-an-naajiyah-sinergi-dakwah-dan-edukasi-keuangan-syariah-di-era-digital/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/cryptosharia-gandeng-pesantren-tadzimul-quran-an-naajiyah-sinergi-dakwah-dan-edukasi-keuangan-syariah-di-era-digital/content.md
3,2025-10-25 05:53:41.765023+00,diskusi-tertutup-kpmi-jakarta-dan-cryptosharia-menyelaraskan-teknologi-kripto-dan-prinsip-syariah,activity,2025-08-27,"[""KPMI"",""Technology"",""Blockchain"",""Sharia Crypto"",""Sharia Finance"",""Halal Crypto"",""Sharia Economy"",""Education"",""Collaboration""]","Diskusi Tertutup KPMI Jakarta dan CryptoSharia: Menyelaraskan Teknologi, Kripto, dan Prinsip Syariah","Dalam upaya memperdalam pemahaman dan membuka ruang dialog konstruktif mengenai masa depan aset digital dalam perspektif Islam, KPMI Jakarta (Komunitas Pengusaha Muslim Indonesia) menginisiasi sebuah diskusi tertutup yang menghadirkan pengurus komunitas Crypto Sharia sebagai narasumber utama.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/diskusi-tertutup-kpmi-jakarta-dan-cryptosharia-menyelaraskan-teknologi-kripto-dan-prinsip-syariah/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/diskusi-tertutup-kpmi-jakarta-dan-cryptosharia-menyelaraskan-teknologi-kripto-dan-prinsip-syariah/content.md
4,2025-10-25 05:53:41.765023+00,ustadz-ali-hasan-bawazier-resmi-jadi-pembina-cryptosharia-sinergi-dakwah-edukasi-dan-teknologi-syariah,activity,2025-08-15,"[""Collaboration"",""Ustadz"",""Dakwah"",""Sharia Crypto"",""Sharia Finance"",""Halal Crypto"",""Sharia Economy"",""Technology"",""Ustadz Ali Hasan Bawazier""]","Ustadz Ali Hasan Bawazier Resmi Jadi Pembina CryptoSharia: Sinergi Dakwah, Edukasi, dan Teknologi Syariah","Sebuah langkah penting dalam penguatan ekosistem kripto syariah di Indonesia terjadi pada Jumat, 15 Agustus 2025, ketika Ketua Crypto Sharia Sholahuddin Al Ayyuubi bersama Pembina Ustadz Devin Halim Wijaya melakukan kunjungan silaturahmi ke kediaman Ustadz Ali Hasan Bawazier.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/ustadz-ali-hasan-bawazier-resmi-jadi-pembina-cryptosharia-sinergi-dakwah-edukasi-dan-teknologi-syariah/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/ustadz-ali-hasan-bawazier-resmi-jadi-pembina-cryptosharia-sinergi-dakwah-edukasi-dan-teknologi-syariah/content.md
5,2025-10-25 05:53:41.765023+00,cryptosharia-dan-halal-kulture-market-berkolaborasi-edukasi-kripto-syariah-untuk-kemajuan-umat,activity,2025-08-02,"[""Halal Kulture"",""Education"",""Collaboration"",""Innovation"",""Sharia Crypto"",""Sharia Finance"",""Halal Crypto"",""Blockchain"",""Digital Economy"",""Dakwah"",""Halal Kulture Market""]",CryptoSharia dan Halal Kulture Market Berkolaborasi: Edukasi Kripto Syariah untuk Kemajuan Umat,"Dalam upaya memperluas literasi dan pemahaman masyarakat Muslim terhadap dunia aset digital, Crypto Sharia resmi berkolaborasi dengan Halal Kulture Market untuk menghadirkan sesi edukasi bertema “Crypto Syariah dan Blockchain untuk Umat”.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/cryptosharia-dan-halal-kulture-market-berkolaborasi-edukasi-kripto-syariah-untuk-kemajuan-umat/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/activities/cryptosharia-dan-halal-kulture-market-berkolaborasi-edukasi-kripto-syariah-untuk-kemajuan-umat/content.md
6,2025-10-25 05:53:41.765023+00,sejarah-bitcoin-dari-krisis-finansial-ke-era-blockchain,article,2025-10-20,"[""bitcoin"",""history"",""blockchain"",""decentralization"",""digital finance""]",Sejarah Bitcoin: Dari Krisis Finansial ke Era Blockchain,"Bitcoin telah menjadi fenomena global dalam dunia keuangan digital. Namun, bagaimana sejarah kemunculannya? Materi ini akan menjelaskan latar belakang dan perjalanan Bitcoin sejak diciptakan tahun 2008 hingga perannya saat ini, dengan bahasa yang sederhana untuk masyarakat umum.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/sejarah-bitcoin-dari-krisis-finansial-ke-era-blockchain/thumbnail.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/sejarah-bitcoin-dari-krisis-finansial-ke-era-blockchain/content.md
7,2025-10-25 05:53:41.765023+00,sejarah-penggunaan-emas-uang-logam-dan-uang-kertas-hingga-era-digital,article,2025-10-11,"[""Sejarah"",""Uang"",""Emas"",""Uang Logam"",""Uang Kertas"",""Ekonomi""]","Sejarah Penggunaan Emas, Uang Logam, dan Uang Kertas hingga Era Digital","Uang merupakan elemen penting dalam kehidupan manusia, namun bentuk dan konsep uang telah berevolusi selama ribuan tahun.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/sejarah-penggunaan-emas-uang-logam-dan-uang-kertas-hingga-era-digital/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/sejarah-penggunaan-emas-uang-logam-dan-uang-kertas-hingga-era-digital/content.md
8,2025-10-25 05:53:41.765023+00,memahami-konsep-risiko-dan-imbal-hasil-risk-and-reward-dalam-investasi,article,2025-10-11,"[""Risiko"",""Imbal Hasil"",""Investasi"",""Finansial"",""Uang"",""Ekonomi""]",Memahami Konsep Risiko dan Imbal Hasil (Risk & Reward) dalam Investasi,"Investasi selalu melibatkan dua hal tak terpisahkan: risiko dan imbal hasil. Untuk masyarakat umum, memahami konsep ini penting agar dapat mengambil keputusan keuangan yang tepat.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/memahami-konsep-risiko-dan-imbal-hasil-risk-and-reward-dalam-investasi/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/memahami-konsep-risiko-dan-imbal-hasil-risk-and-reward-dalam-investasi/content.md
9,2025-10-25 05:53:41.765023+00,mindset-keuangan-sehat-kunci-hidup-finansial-yang-stabil,article,2025-10-06,"[""Mindset"",""Keuangan"",""Finansial"",""Uang"",""Ekonomi"",""Pola Pikir""]",Mindset Keuangan Sehat: Kunci Hidup Finansial yang Stabil,"Mindset keuangan adalah pola pikir, keyakinan, dan sikap seseorang dalam menyikapi uang — mulai dari kebiasaan menabung, cara membelanjakan, hingga mengelola keuangan. Pola pikir inilah yang memengaruhi setiap keputusan finansial yang kita ambil, apakah itu keputusan untuk berhemat atau berbelanja.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/mindset-keuangan-sehat-kunci-hidup-finansial-yang-stabil/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/mindset-keuangan-sehat-kunci-hidup-finansial-yang-stabil/content.md
10,2025-10-25 05:53:41.765023+00,menabung-investasi-dan-spekulasi-apa-bedanya,article,2025-10-06,"[""Menabung"",""Investasi"",""Spekulasi"",""Ekonomi"",""Finansial"",""Uang""]","Menabung, Investasi, dan Spekulasi: Apa Bedanya?","Banyak orang awam masih bingung membedakan menabung, berinvestasi, dan berspekulasi. Ketiganya sama-sama melibatkan uang, tetapi tujuan dan caranya sangat berbeda.",https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/menabung-investasi-dan-spekulasi-apa-bedanya/thumbnail.jpg,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/posts/articles/menabung-investasi-dan-spekulasi-apa-bedanya/content.md
