id,created_at,slug,cmc_rank,name,symbol,status,color,tv_pair,tags,website,logo_url,certificate_url,overview_url,conclusion_url
1,2025-10-25 07:05:53.080719+00,bitcoin,1,Bitcoin,BTC,halal,#F7931A,INDEX:BTCUSD,"[""Layer-1"",""Store of Value"",""Digital Currency"",""Payment"",""Pioneer"",""Satoshi Nakamoto""]",https://bitcoin.org,https://s2.coinmarketcap.com/static/img/coins/128x128/1.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bitcoin/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bitcoin/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bitcoin/conclusion.md
2,2025-10-25 07:05:53.080719+00,ethereum,2,Ethereum,ETH,halal,#627EEA,INDEX:ETHUSD,"[""Layer-1"",""Smart Contract Platform"",""DeFi"",""dApp"",""NFT"",""Pioneer"",""Vitalik Buterin""]",https://ethereum.org,https://s2.coinmarketcap.com/static/img/coins/128x128/1027.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ethereum/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ethereum/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ethereum/conclusion.md
3,2025-10-25 07:05:53.080719+00,xrp,5,XRP,XRP,halal,#23292f,CRYPTO:XRPUSD,"[""Layer-1"",""Payment Network"",""Remittance"",""Bridge Currency"",""Ripple""]",https://xrpl.org,https://s2.coinmarketcap.com/static/img/coins/128x128/52.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/xrp/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/xrp/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/xrp/conclusion.md
4,2025-10-25 07:05:53.080719+00,bnb,5,BNB,BNB,syubhat,#F3BA2F,CRYPTO:BNBUSD,"[""Layer-1"",""Smart Contract Platform"",""Exchange Ecosystem"",""Binance"",""Changpeng Zhao""]",https://www.bnbchain.org,https://s2.coinmarketcap.com/static/img/coins/128x128/1839.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bnb/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bnb/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bnb/conclusion.md
5,2025-10-25 07:05:53.080719+00,solana,7,Solana,SOL,halal,#9945FF,CRYPTO:SOLUSD,"[""Layer-1"",""Smart Contract Platform"",""DeFi"",""dApp"",""NFT"",""Gaming"",""Anatoly Yakovenko""]",https://solana.com,https://s2.coinmarketcap.com/static/img/coins/128x128/5426.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/solana/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/solana/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/solana/conclusion.md
6,2025-10-25 07:05:53.080719+00,tron,8,Tron,TRX,halal,#FF0000,CRYPTO:TRXUSD,"[""Layer-1"",""Smart Contract Platform"",""DeFi"",""dApp"",""NFT"",""Gaming"",""Justin Sun""]",https://tron.network,https://s2.coinmarketcap.com/static/img/coins/128x128/1958.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/tron/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/tron/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/tron/conclusion.md
7,2025-10-25 07:05:53.080719+00,sui,25,Sui,SUI,halal,#4DA2FF,CRYPTO:SUIUSD,"[""Layer-1"",""Smart Contract Platform"",""dApp"",""DeFi"",""NFT"",""Gaming"",""Parallel Processing"",""Mysten Labs"",""Evan Cheng""]",https://sui.io,https://s2.coinmarketcap.com/static/img/coins/128x128/20947.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/sui/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/sui/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/sui/conclusion.md
8,2025-10-25 07:05:53.080719+00,avalanche,23,Avalanche,AVAX,halal,#E84142,CRYPTO:AVAXUSD,"[""Layer-1"",""Smart Contract Platform"",""DeFi"",""dApp"",""Gaming""]",https://avax.network,https://s2.coinmarketcap.com/static/img/coins/128x128/5805.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/avalanche/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/avalanche/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/avalanche/conclusion.md
9,2025-10-25 07:05:53.080719+00,plasma-xpl,135,Plasma,XPL,halal,#295B4F,BINANCE:XPLUSDT.P,"[""Layer-1"",""Stablecoin Infrastructure"",""Payment"",""EVM-Compatible""]",https://plasma.to,https://s2.coinmarketcap.com/static/img/coins/128x128/36645.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/plasma-xpl/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/plasma-xpl/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/plasma-xpl/conclusion.md
10,2025-10-25 07:05:53.080719+00,world-liberty-financial-wlfi,31,World Liberty Financial,WLFI,haram,#E7AC08,MEXC:WLFIUSDT.P,"[""DeFi"",""Governance Token"",""Utility Token"",""World Liberty"",""Donald Trump""]",https://worldlibertyfinancial.com,https://s2.coinmarketcap.com/static/img/coins/128x128/33251.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/world-liberty-financial-wlfi/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/world-liberty-financial-wlfi/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/world-liberty-financial-wlfi/conclusion.md
11,2025-10-25 07:05:53.080719+00,pax-gold,36,Pax Gold,PAXG,halal,#e5cb22,TVC:GOLD,"[""RWA"",""Gold"",""Asset-Backed Token""]",https://paxos.com/pax-gold,https://s2.coinmarketcap.com/static/img/coins/128x128/4705.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/pax-gold/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/pax-gold/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/pax-gold/conclusion.md
12,2025-10-25 07:05:53.080719+00,tether-gold,32,Tether Gold,XAUt,halal,#D3B25B,TVC:GOLD,"[""RWA"",""Gold"",""Asset-Backed Token""]",https://gold.tether.to,https://s2.coinmarketcap.com/static/img/coins/128x128/5176.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/tether-gold/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/tether-gold/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/tether-gold/conclusion.md
13,2025-11-01 06:24:04.674546+00,cardano,11,Cardano,ADA,halal,#0033AD,CRYPTO:ADAUSD,"[""Layer-1"",""Proof-of-Stake"",""Ouroboros"",""Staking"",""Smart Contracts"",""eUTXO"",""Governance""]",https://cardano.org,https://s2.coinmarketcap.com/static/img/coins/128x128/2010.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cardano/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cardano/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cardano/conclusion.md
14,2025-11-01 07:00:13.764423+00,chainlink,14,Chainlink,LINK,halal,#0847F7,CRYPTO:LINKUSD,"[""Oracles"",""Data Feed"",""Smart Contracts"",""Decentralized Oracle Network"",""Interoperability"",""CCIP"",""Web3 Services""]",https://chain.link,https://s2.coinmarketcap.com/static/img/coins/128x128/1975.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/chainlink/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/chainlink/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/chainlink/conclusion.md
15,2025-11-01 07:05:38.277185+00,hedera,24,Hedera,HBAR,halal,#000000,CRYPTO:HBARUSD,"[""Distributed Ledger Technology"",""Hashgraph"",""Asynchronous Byzantine Fault Tolerance"",""Enterprise Solutions"",""Council Governance"",""High Throughput"",""Low Fees""]",https://hedera.com,https://s2.coinmarketcap.com/static/img/coins/128x128/4642.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/hedera/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/hedera/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/hedera/conclusion.md
16,2025-11-01 07:10:15.659213+00,stellar,17,Stellar,XLM,halal,#000000,CRYPTO:XLMUSD,"[""Cross-Border Payments"",""Remittances"",""Financial Inclusion"",""Stellar Consensus Protocol (SCP)"",""Anchors"",""Asset Tokenization"",""DEX built-in"",""XLM Token""]",https://stellar.org,https://s2.coinmarketcap.com/static/img/coins/128x128/512.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/stellar/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/stellar/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/stellar/conclusion.md
17,2025-11-01 07:13:33.035329+00,litecoin,21,Litecoin,LTC,halal,#3683f5,CRYPTO:LTCUSD,"[""Peer-to-Peer Payments"",""Digital Silver"",""Scrypt Algorithm"",""Proof-of-Work (PoW)"",""Faster Transactions"",""SegWit"",""Mimblewimble (MWEB)""]",https://litecoin.org,https://s2.coinmarketcap.com/static/img/coins/128x128/2.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/litecoin/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/litecoin/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/litecoin/conclusion.md
18,2025-11-01 07:18:25.516749+00,polkadot-new,35,Polkadot,DOT,halal,#E6007A,CRYPTO:DOTUSD,"[""Interoperability"",""Layer-0 Infrastructure"",""Parachains"",""Relay Chain"",""Substrate Ecosystem"",""Nominated Proof-of-Stake (NPoS)"",""Governance"",""Bonding""]",https://polkadot.com,https://s2.coinmarketcap.com/static/img/coins/128x128/6636.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/polkadot-new/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/polkadot-new/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/polkadot-new/conclusion.md
19,2025-11-01 07:21:35.656005+00,uniswap,34,Uniswap,UNI,halal,#FF007A,CRYPTO:UNIUSD,"[""DEX (Decentralized Exchange)"",""Automated Market Maker (AMM)"",""Liquidity Pools"",""Yield Farming"",""Governance Token"",""Ethereum Ecosystem"",""Swapping Assets""]",https://uniswap.org,https://s2.coinmarketcap.com/static/img/coins/128x128/7083.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/uniswap/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/uniswap/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/uniswap/conclusion.md
20,2025-11-01 07:23:53.604713+00,algorand,62,Algorand,ALGO,halal,#00BEA5,CRYPTO:ALGOUSD,"[""Pure Proof-of-Stake (PPoS)"",""Scalability"",""Algorand Standard Assets (ASA)"",""Instant Finality"",""Governance"",""Low Fees"",""Carbon Negative""]",https://algorand.foundation,https://s2.coinmarketcap.com/static/img/coins/128x128/4030.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/algorand/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/algorand/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/algorand/conclusion.md
21,2025-11-01 07:26:53.652641+00,zcash,21,Zcash,ZEC,halal,#F3B724,CRYPTO:ZECUSD,"[""Privacy Coin"",""Zero-Knowledge Proofs"",""zk-SNARKs"",""Shielded Transactions"",""Selective Disclosure"",""Transparent Transactions"",""Decentralization""]",https://z.cash,https://s2.coinmarketcap.com/static/img/coins/128x128/1437.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/zcash/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/zcash/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/zcash/conclusion.md
23,2025-11-17 11:08:09.948988+00,monero,15,Monero,XMR,halal,#FF6600,CRYPTO:XMRUSD,"[""Layer-1"",""Privacy"",""PoW"",""Mineable""]",https://getmonero.org,https://s2.coinmarketcap.com/static/img/coins/128x128/328.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/monero/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/monero/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/monero/conclusion.md
24,2025-11-17 11:19:30.813015+00,okb,38,OKB,OKB,halal,#000000,CRYPTO:OKBUSD,"[""CEX"",""X Layer"",""Exchange""]",https://okx.com,https://s2.coinmarketcap.com/static/img/coins/128x128/3897.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/okb/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/okb/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/okb/conclusion.md
25,2025-11-17 11:28:20.068467+00,arbitrum,73,Arbitrum,ARB,halal,#131313,COINBASE:ARBUSD,"[""Layer-2"",""Scaling"",""DAO"",""Ethereum Ecosystem""]",https://arbitrum.foundation,https://s2.coinmarketcap.com/static/img/coins/128x128/11841.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/arbitrum/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/arbitrum/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/arbitrum/conclusion.md
26,2025-11-17 12:05:41.239828+00,near-protocol,44,NEAR Protocol,NEAR,halal,	#00EC97,CRYPTO:NEARUSD,"[""Layer-1"",""AI"",""Big Data"",""Generative AI"",""AI Agents"",""Near Protocol Ecosystem""]",https://near.org,https://s2.coinmarketcap.com/static/img/coins/128x128/6535.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/near-protocol/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/near-protocol/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/near-protocol/conclusion.md
27,2025-11-17 12:11:28.349455+00,bittensor,28,Bittensor,TAO,halal,#000000,MEXC:TAOUSDT,"[""Layer-1"",""AI"",""Big Data"",""DAO"",""Oracles"",""Robotics"",""Generative AI"",""DePin"",""Distributed Computing""]",https://bittensor.com,https://s2.coinmarketcap.com/static/img/coins/128x128/22974.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bittensor/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bittensor/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bittensor/conclusion.md
87,2025-12-31 07:09:06.929067+00,aave,38,Aave,AAVE,haram,#B6509E,CRYPTO:AAVEUSD,"[""Lending"",""DeFi"",""Liquidity""]",https://aave.com,https://s2.coinmarketcap.com/static/img/coins/64x64/7278.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/aave/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/aave/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/aave/conclusion.md
88,2025-12-31 07:09:06.929067+00,aptos,64,Aptos,APT,halal,#000000,BINANCE:APTUSDT,"[""Layer-1"",""Move Language"",""Scalable""]",https://aptosnetwork.com/,https://s2.coinmarketcap.com/static/img/coins/64x64/21794.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/aptos/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/aptos/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/aptos/conclusion.md
90,2025-12-31 07:09:06.929067+00,bitget-token-new,46,Bitget Token,BGB,haram,#00D1FF,CRYPTO:BGBUSD,"[""Exchange"",""Utility"",""CEX Token""]",https://www.bitget.com,https://s2.coinmarketcap.com/static/img/coins/64x64/11092.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bitget-token/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bitget-token/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bitget-token/conclusion.md
91,2025-12-31 07:09:06.929067+00,bonk1,75,Bonk,BONK,haram,#F2A900,CRYPTO:BONKUSD,"[""Meme"",""Solana"",""Ecosystem""]",https://bonkcoin.com,https://s2.coinmarketcap.com/static/img/coins/64x64/23095.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bonk/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bonk/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/bonk/conclusion.md
92,2025-12-31 07:09:06.929067+00,cosmos,56,Cosmos,ATOM,halal,#2E3192,CRYPTO:ATOMUSD,"[""Layer-0"",""Interoperability"",""Ecosystem""]",https://cosmos.network/,https://s2.coinmarketcap.com/static/img/coins/64x64/3794.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cosmos/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cosmos/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cosmos/conclusion.md
93,2025-12-31 07:09:06.929067+00,cronos,29,Cronos,CRO,haram,#000000,OKX:CROUSDT,"[""CEX Token"",""Layer-1"",""Payments""]",https://cronos.org,https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cronos/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cronos/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/cronos/conclusion.md
94,2025-12-31 07:09:06.929067+00,multi-collateral-dai,19,Dai,DAI,haram,#F5AC37,CRYPTO:DAIUSD,"[""Stablecoin"",""Decentralized"",""DeFi""]",https://makerdao.com,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/dai/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/dai/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/dai/conclusion.md
95,2025-12-31 07:09:06.929067+00,eos,4210,EOS,EOS,halal,#000000,CRYPTO:EOSUSD,"[""Layer-1"",""High Performance""]",https://eosnetwork.com/,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/eos/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/eos/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/eos/conclusion.md
96,2025-12-31 07:09:06.929067+00,ethena,49,Ethena,ENA,haram,#000000,CRYPTO:ENAUSD,"[""defi"",""ethereum-ecosystem"",""binance-labs-portfolio"",""okx-ventures-portfolio"",""cmc-crypto-yearbook-2024-2025"",""world-liberty-financial-portfolio"",""binance-ecosystem"",""binance-listing""]",https://www.ethena.fi,https://s2.coinmarketcap.com/static/img/coins/64x64/30171.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ethena/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ethena/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ethena/conclusion.md
97,2025-12-31 07:09:06.929067+00,artificial-superintelligence-alliance,78,Artificial Superintelligence Alliance,FET,halal,#000B29,CRYPTO:FETUSD,"[""AI"",""Agents"",""Machine Learning""]",https://superintelligence.io/,https://s2.coinmarketcap.com/static/img/coins/64x64/3773.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/artificial-superintelligence-alliance/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/artificial-superintelligence-alliance/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/artificial-superintelligence-alliance/conclusion.md
98,2025-12-31 07:09:06.929067+00,filecoin,64,Filecoin,FIL,halal,#0090FF,CRYPTO:FILUSD,"[""Storage"",""DePin"",""Data""]",https://filecoin.io/,https://s2.coinmarketcap.com/static/img/coins/64x64/2280.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/filecoin/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/filecoin/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/filecoin/conclusion.md
99,2025-12-31 07:09:06.929067+00,ftx-token,195,FTX Token,FTT,haram,#00ABD2,CRYPTO:FTTUSD,"[""Exchange"",""Cleanup""]",https://ftx.com,https://s2.coinmarketcap.com/static/img/coins/64x64/4195.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ftx-token/certificate.png,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ftx-token/overview.md,https://juyarisxwydpyrzujhsd.supabase.co/storage/v1/object/public/main/tokens/ftx-token/conclusion.md
